FECHA,POSITIVOS,POSITIVOS_LI,POSITIVOS_LS
2020-02-29,1,NA,NA
2020-03-02,9,NA,NA
2020-03-06,1,NA,NA
2020-03-07,1,NA,NA
2020-03-12,8,NA,NA
2020-03-13,12,NA,NA
2020-03-14,17,NA,NA
2020-03-15,9,NA,NA
2020-03-16,3,NA,NA
2020-03-17,17,NA,NA
2020-03-18,36,NA,NA
2020-03-19,55,NA,NA
2020-03-20,59,NA,NA
2020-03-21,68,NA,NA
2020-03-22,72,NA,NA
2020-03-23,76,NA,NA
2020-03-24,88,NA,NA
2020-03-25,180,NA,NA
2020-03-26,143,NA,NA
2020-03-27,98,NA,NA
2020-03-28,85,NA,NA
2020-03-29,87,NA,NA
2020-03-30,58,NA,NA
2020-03-31,57,NA,NA
2020-04-01,38,NA,NA
2020-04-02,73,NA,NA
2020-04-03,69,NA,NA
2020-04-04,40,NA,NA
2020-04-05,28,NA,NA
2020-04-06,32,NA,NA
2020-04-07,73,NA,NA
2020-04-08,60,NA,NA
2020-04-09,37,NA,NA
2020-04-10,68,NA,NA
2020-04-11,26,NA,NA
2020-04-12,47,NA,NA
2020-04-13,13,NA,NA
2020-04-14,33,NA,NA
2020-04-15,24,NA,NA
2020-04-16,60,NA,NA
2020-04-17,38,NA,NA
2020-04-18,52,NA,NA
2020-04-19,40,NA,NA
2020-04-20,32,NA,NA
2020-04-21,38,NA,NA
2020-04-22,53,NA,NA
2020-04-23,64,NA,NA
2020-04-24,38,NA,NA
2020-04-25,16,NA,NA
2020-04-26,23,NA,NA
2020-04-27,39,NA,NA
2020-04-28,50,NA,NA
2020-04-29,66,NA,NA
2020-04-30,46,NA,NA
2020-05-01,29,NA,NA
2020-05-02,6,NA,NA
2020-05-03,2,NA,NA
2020-05-04,12,NA,NA
2020-05-05,27,NA,NA
2020-05-06,15,NA,NA
2020-05-07,33,NA,NA
2020-05-08,7,NA,NA
2020-05-09,3,NA,NA
2020-05-10,1,NA,NA
2020-05-11,17,NA,NA
2020-05-12,19,NA,NA
2020-05-13,9,NA,NA
2020-05-14,20,NA,NA
2020-05-15,9,NA,NA
2020-05-16,3,NA,NA
2020-05-17,3,NA,NA
2020-05-18,8,NA,NA
2020-05-19,5,NA,NA
2020-05-20,9,NA,NA
2020-05-21,5,NA,NA
2020-05-22,8,NA,NA
2020-05-23,2,NA,NA
2020-05-25,7,NA,NA
2020-05-26,3,NA,NA
2020-05-27,14,NA,NA
2020-05-28,4,NA,NA
2020-05-29,8,NA,NA
2020-05-30,2,NA,NA
2020-05-31,2,NA,NA
2020-06-01,4,NA,NA
2020-06-02,8,NA,NA
2020-06-03,3,NA,NA
2020-06-04,6,NA,NA
2020-06-05,5,NA,NA
2020-06-07,2,NA,NA
2020-06-08,8,NA,NA
2020-06-09,2,NA,NA
2020-06-10,5,NA,NA
2020-06-11,6,NA,NA
2020-06-12,9,NA,NA
2020-06-13,2,NA,NA
2020-06-14,1,NA,NA
2020-06-15,7,NA,NA
2020-06-16,3,NA,NA
2020-06-17,15,NA,NA
2020-06-18,16,NA,NA
2020-06-19,12,NA,NA
2020-06-20,1,NA,NA
2020-06-21,6,NA,NA
2020-06-22,12,NA,NA
2020-06-23,7,NA,NA
2020-06-24,26,NA,NA
2020-06-25,9,NA,NA
2020-06-26,11,NA,NA
2020-06-27,6,NA,NA
2020-06-29,6,NA,NA
2020-06-30,13,NA,NA
2020-07-01,7,NA,NA
2020-07-02,7,NA,NA
2020-07-03,8,NA,NA
2020-07-04,1,NA,NA
2020-07-06,4,NA,NA
2020-07-07,5,NA,NA
2020-07-08,11,NA,NA
2020-07-09,4,NA,NA
2020-07-10,3,NA,NA
2020-07-11,2,NA,NA
2020-07-12,2,NA,NA
2020-07-13,1,NA,NA
2020-07-14,7,NA,NA
2020-07-15,9,NA,NA
2020-07-16,5,NA,NA
2020-07-17,6,NA,NA
2020-07-18,8,NA,NA
2020-07-19,21,NA,NA
2020-07-20,13,NA,NA
2020-07-21,2,NA,NA
2020-07-22,6,NA,NA
2020-07-23,17,NA,NA
2020-07-24,10,NA,NA
2020-07-25,6,NA,NA
2020-07-26,5,NA,NA
2020-07-27,15,NA,NA
2020-07-28,1,NA,NA
2020-07-29,12,NA,NA
2020-07-30,19,NA,NA
2020-07-31,20,NA,NA
2020-08-01,24,NA,NA
2020-08-02,22,NA,NA
2020-08-03,40,NA,NA
2020-08-04,40,NA,NA
2020-08-05,21,NA,NA
2020-08-06,42,NA,NA
2020-08-07,32,NA,NA
2020-08-08,32,NA,NA
2020-08-09,29,NA,NA
2020-08-10,17,NA,NA
2020-08-11,66,NA,NA
2020-08-12,48,NA,NA
2020-08-13,65,NA,NA
2020-08-14,77,NA,NA
