Codigo,poblacion
39001,2416
39002,4288
39003,267
39004,1679
39005,1748
39006,2103
39007,452
39008,18111
39009,4246
39010,678
39011,1950
39012,8301
39013,616
39014,1000
39015,936
39016,30260
39017,669
39018,5747
39019,2914
39020,32069
39021,538
39022,1305
39023,8484
39024,2141
39025,10841
39026,2039
39027,3714
39028,5163
39029,779
39030,2354
39031,1569
39032,1603
39033,605
39034,272
39035,11025
39036,1204
39037,2379
39038,1879
39039,593
39040,5125
39041,2105
39042,7556
39043,2028
39044,4741
39045,380
39046,1504
39047,2556
39048,2142
39049,319
39050,292
39051,78
39052,25559
39053,232
39054,5896
39055,1343
39056,2854
39057,2876
39058,931
39059,9003
39060,8384
39061,4437
39062,2276
39063,1047
39064,1601
39065,260
39066,1016
39067,839
39068,740
39069,2361
39070,140
39071,507
39072,356
39073,13095
39074,9159
39075,172539
39076,4207
39077,255
39078,1629
39079,11024
39080,4124
39081,504
39082,1891
39083,1180
39084,1047
39085,8782
39086,387
39087,51494
39088,62
39089,141
39090,934
39091,2182
39092,947
39093,337
39094,989
39095,2728
39096,736
39097,763
39098,1612
39099,3899
39100,1003
39101,283
39102,2724
